beer_name,brewery,ba_score,ranking,reviews,ratings,pdev,wants,gots,trade,location,style,alcohol,availability,note_desc
Les Bière Des Sans Culottes,Brasserie La Choulette,4.01,"#7,895",105,143,10.72%,37,10,0,France,French Bière de Garde,7.00%,Year-round,"
No notes at this time."
Talking Backwards Triple IPA,Ocelot Brewing Company,4.48,#390,27,75,5.58%,17,6,0,Virginia,American Imperial IPA,10.80%,Rotating,"
CTZ, Simcoe, Mosaic, and Citra hops. Almost 4 pounds per barrel."
Wernher Von Brown Ale,Straight To Ale,3.71,"#27,023",5,22,10.78%,1,1,0,Alabama,English Brown Ale,5.00%,Fall,"
No notes at this time."
Die In Haze,Structures Brewing,4.59,"#1,879",3,12,6.32%,2,0,0,Washington,American Imperial IPA,10.00%,Rotating,"
No notes at this time."
420 Extra Pale Ale,SweetWater Brewing Company,3.64,"#32,932",814,"3,812",12.91%,130,"1,211",4,Georgia,American Pale Ale (APA),5.40%,Year-round,"
No notes at this time."
Autumnal Fire,Capital Brewery,4.06,"#5,459",341,596,9.85%,85,41,1,Wisconsin,German Doppelbock,7.80%,Fall,"
With a deep copper hue and rich malty flavor this renowned doppelbock warms like burning embers of a mid-autumn fire as the nights grow cooler. You may be tempted to share, but keep this Fire for yourself. It’s that good!"
Nickel Brook Old Kentucky Bastard (Bourbon Barrel Aged Bolshevik Bastard),Nickel Brook Brewing Co.,4.09,"#4,843",51,184,11.25%,19,58,4,Ontario,Russian Imperial Stout,14.50%,Fall,"
Our Bolshevik Bastard kicked up a notch. We age Bolshevik in Kentucky bourbon barrels for over a year. The rich chocolate, coffee and dark fruit flavours from our imperial stout are married together with the vanilla, oak and warming alcohol from bourbon barrels. "
Imperial Pumpkin Porter - Barrel-Aged,Epic Brewing Company,3.9,"#15,684",12,31,11.28%,2,2,0,Utah,Pumpkin Beer,10.30%,Rotating,"
Hand-selected whiskey barrels bring forth bold notes of caramel and toasted oak, which perfectly complements the beer's spices and Madagascar Vanilla. Enjoy now or cellar for next year."
Belgian Saison,Trinity Brewhouse,3.89,"#18,294",3,13,13.88%,1,0,0,Rhode Island,Belgian Saison,4.00%,Rotating,"
No notes at this time."
Into The Mystic,Slowboat Brewing Co.,3.93,"#17,138",2,11,10.69%,1,7,0,Mississippi,Belgian Witbier,4.90%,Year-round,"
No notes at this time."
Bearded Lady,Magic Rock Brewing,4.12,"#7,199",3,23,9.47%,3,3,0,England,Russian Imperial Stout,10.50%,Year-round,"
No notes at this time."
Ola Dubh Special Reserve 40,Harviestoun Brewery Ltd.,4.28,"#1,378",114,178,9.81%,90,28,1,Scotland,English Old Ale,8.00%,Rotating,"
No notes at this time."
Flume,Battery Steele Brewing,4.3,"#1,278",40,139,4.65%,3,34,1,Maine,New England IPA,8.00%,Rotating,"
No notes at this time."
Headband,New Park Brewing,4.29,"#3,412",2,23,4.66%,3,7,0,Connecticut,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Angry Chair / Prairie - The Adjunct Trail,Angry Chair Brewing,4.63,-,2,17,3.46%,5,2,0,Florida,American Imperial Stout,10.50%,Limited (brewed once),"
Collaboration with Prairie Artisan Ales. Imperial sweet stout with hazelnut coffee and toasted coconut."
Oregon Trail Raspberry Wheat,High Noon Saloon & Brewery,3.33,"#40,053",7,24,13.81%,4,1,0,Kansas,Fruit and Field Beer,4.46%,Year-round,"
Classic Hefeweizen brewed with real, 100% natural raspberry fruit, NOT raspberry extract. Our Gold medal says it all!"
Leon,Cigar City Brewing,4.44,#283,70,557,7.88%,645,80,6,Florida,British Barleywine,13.00%,Rotating,"
Church on a Hill aged in apple brandy barrels."
Double Trouble,Shades Of Pale Brewing Company,4.29,"#5,781",4,12,8.86%,1,3,0,Utah,American Imperial IPA,10.00%,Year-round,"
No notes at this time."
Hamer & Sikkel,Brouwerij De Molen,3.77,"#23,511",23,85,12.73%,7,20,0,Netherlands,English Porter,5.20%,Rotating,"
No notes at this time."
Coconut Killer,Drekker Brewing Company,3.84,"#20,085",5,18,8.85%,0,0,0,North Dakota,American IPA,5.60%,Rotating,"
IPA brewed with coconut, vanilla, and lactose sugar."
The Didjits Blood Orange IPA,Burnt Hickory Brewery,4.29,"#1,269",42,196,8.86%,53,40,1,Georgia,American IPA,7.50%,Spring,"
No notes at this time."
Atomic Duck,Able Baker Brewing Co.,3.72,"#26,075",3,11,8.06%,1,3,0,Nevada,American IPA,7.30%,Year-round,"
No notes at this time."
Corn Rigs And Barley Rigs,Right Proper Brewing Company - Shaw Brewpub,4.16,"#8,340",5,13,8.89%,0,3,1,District of Columbia,Berliner Weisse,3.80%,Rotating,"
No notes at this time."
Citra,Pipeworks Brewing Company,4.4,#386,145,"1,397",8.41%,618,151,4,Illinois,American Imperial IPA,9.50%,Rotating,"
Our Imperial IPA hopped with so many, really just so many, pounds of Citra hops is one of our favorites to brew, mostly because it's one of our favorites to drink. Cheers! Drink early and often."
Busch Beer,Anheuser-Busch,2.03,"#44,927",481,"1,771",37.44%,13,295,0,Missouri,American Adjunct Lager,4.30%,Year-round,"
Busch and Busch Light are both brewed with a blend of premium American-grown and imported hops and a combination of malt and corn to provide a pleasant balanced flavor. Additionally, Busch Light undergoes a longer brewing process that produces a lighter body and fewer calories."
The Truffle,de Garde Brewing,4.47,#642,8,47,8.95%,29,12,2,Oregon,American Wild Ale,5.00%,Rotating,"
A Golden Wild Ale aged in oak barrels with Oregon white truffles"
The Great Pumpkin,Elysian Brewing Company,4.13,"#3,468",201,727,10.65%,312,139,1,Washington,Pumpkin Beer,8.10%,Fall,"
No notes at this time."
Natural Ice,Anheuser-Busch,1.79,"#44,947",369,"1,471",43.58%,8,316,0,Missouri,American Adjunct Lager,5.90%,Year-round,"
Natural Ice is brewed with a blend of premium American-grown and imported hops and a combination of malt and corn that lends Natural Ice its delicate sweetness. It then undergoes Anheuser-Busch’s exclusive ice-brewing process, which takes the beer to a temperature below freezing and leads to the formation of ice crystals which create its signature rich and smooth taste."
Jomax,Wren House Brewing Co,4.02,"#9,960",7,29,9.7%,1,4,0,Arizona,English Oatmeal Stout,6.90%,Rotating,"
Brewed with Ethiopian coffee"
Attention Please! - DDH W/ Nelson Sauvin,Bearded Iris Brewing,4.43,"#2,523",5,16,4.06%,2,1,0,Tennessee,American Imperial IPA,8.20%,Rotating,"
Our 100% Citra Double IPA, this time DDH with Nelson Sauvin."
Canyon Cream Ale,Crow Peak Brewing,3.12,"#43,229",21,99,15.71%,1,14,0,South Dakota,American Cream Ale,5.00%,Rotating,"
A light bodied ale with malty dominated flavor. Very low hop bitterness, flavor, and aroma."
Landlord Pale Ale,Timothy Taylor & Co. Limited,4.09,"#4,530",223,483,10.02%,112,61,0,England,English Pale Ale,4.10%,Year-round,"
Landlord is the classic pale ale, traditionally brewed using the finest Golden Promise malted barley, whole leaf hops and pure Knowle Spring Water."
Judge Roy Bean Coffee Stout,Fairhope Brewing Company,3.91,"#13,367",31,101,10.49%,6,25,0,Alabama,English Sweet / Milk Stout,5.50%,Rotating,"
Judge Roy Bean is an American stout brewed in collaboration with our good friends at Fairhope Roasting Company, whose House Blend is cold-brewed and added to this already decadent brew. This beer is our tribute to the beloved Eastern Shore landmark, and much like the old days at the Bean, we think you'll love spending your holiday with Judge Roy Bean."
Angry Mash Oatmeal Stout,COAST Brewing Company,4.18,"#6,288",14,19,9.57%,10,0,0,South Carolina,English Oatmeal Stout,9.00%,Rotating,"
A big Oatmeal Stout brewed with over 20% organic oats. Creamy, roasty and way too drinkable for the ABV."
Barrel-Aged Silhouette,Lift Bridge Brewery,4.52,#135,57,472,5.97%,295,95,9,Minnesota,Russian Imperial Stout,10.00%,Winter,"
No notes at this time."
Poetica 2,Hill Farmstead Brewery,4.58,-,2,14,5.02%,2,1,0,Vermont,German Pilsner,not listed,Limited (brewed once),"
For this iteration, we brewed Mary with a single decoction mash process, our sourced German Hersbrucker and Spalter hops, and then lagered in a single French oak puncheon in our cooler. After three months of conditioning, the beer was moved to a tank and krausened (as is all of our lager) with fresh fermenting beer to provide natural carbonation. After another two months of further conditioning and slow carbonation, we present you with a beautifully softened, refined, and elevated representation of Mary."
The Wilfred,Angry Chair Brewing,4.48,"#2,389",2,14,5.36%,1,2,0,Florida,English Sweet / Milk Stout,7.50%,Rotating,"
German Chocolate Cupcake Stout with Maple"
Southern Belle,3 Stars Brewing Company,3.82,"#19,752",16,94,13.61%,1,25,0,District of Columbia,American Brown Ale,8.70%,Rotating,"
No notes at this time."
No Rules,Perrin Brewery,4.49,#173,275,"1,332",7.8%,326,434,76,Michigan,American Imperial Porter,15.00%,Rotating,"
This 15% Imperial Porter was made with coconut and turbinado sugar then laid down and aged in bourbon barrels for several months. With a classic film reference weaved into the label art, we hope you enjoy this product as much as we did making it. A generous donation will be made to The Raider Project for each bottle sold to thank them for what they do for our Marine Veterans."
Deconstructed Bomb! Chocolate/Cocoa Nibs,Prairie Artisan Ales,4.07,"#5,709",33,133,6.14%,0,22,0,Oklahoma,American Imperial Stout,13.00%,Rotating,"
No notes at this time."
Double Mosaic Daydream,Other Half Brewing Co.,4.49,#368,13,72,5.35%,12,13,0,New York,American Imperial IPA,8.50%,Rotating,"
Double Mosaic Daydream Oat Cream Imperial India Pale Ale is a fun mash up of Daydream in Green and Double Mosaic Dream. All the oats and a hint of lactose from Daydream and all the Mosaic from Double Mosaic smashed together into one."
Peche'cus,Freetail Brewing Company,4.3,"#1,357",9,109,7.91%,96,5,2,Texas,American Wild Ale,8.20%,Rotating,"
No notes at this time."
Double Dry-Hopped Tesseract,Grimm Artisanal Ales,4.45,#490,8,76,6.07%,9,9,0,New York,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Wäls Trippel,Cervejaria Wäls,4.01,"#11,048",4,23,11.22%,4,9,1,Brazil,Belgian Tripel,9.00%,Year-round,"
No notes at this time."
Dangerously Close To Stupid,To Øl,4.13,"#3,806",41,173,7.99%,9,37,2,Denmark,American Imperial IPA,9.30%,Spring,"
No notes at this time."
Ayinger Jahrhundert Bier,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,3.96,"#9,649",541,"1,027",10.61%,65,94,0,Germany,European Export / Dortmunder,5.50%,Year-round,"
This beer was first brewed in 1978 to celebrate the 100th anniversary of our brewery. It has a golden-yellow color with a slightly flowery yeast, honey-ish aroma, tastes a little spicy and is full-bodied in initial taste, mild before swallowing and soft with a refined sparkle and fades with a well-balanced hint of bitterness. It is an especially drinkable and harmonious beer. Conrad Seidl, known as the Austrian “Pope of Beers”, on the Jahrhundert Bier: “It is a malty beer that pronounces the precious earthy quality of malted barley.”"
Trappistes Rochefort 8,Brasserie de Rochefort,4.33,#722,"1,951","5,420",9.7%,439,"1,156",23,Belgium,Belgian Strong Dark Ale,9.20%,Year-round,"
No notes at this time."
Pliny The Younger,Russian River Brewing Company,4.7,#12,969,"3,204",7.45%,"6,639",557,1,California,American Imperial IPA,10.25%,Winter,"
Pliny the Younger, the man, was Pliny the Elder’s nephew and adopted son. They lived nearly 2,000 years ago! Pliny the Elder is our Double IPA, so we felt it was fitting to name our Triple IPA after his son. It is almost a true Triple IPA with triple the amount of hops as a regular I.P.A. That said, it is extremely difficult, time and space consuming, and very expensive to make. And that is why we don’t make it more often! This beer is very full-bodied with tons of hop character in the nose and throughout. It is also deceptively well-balanced and smooth."
Scenario,Melvin Brewing / Thai Me Up,4.08,"#8,754",7,21,7.6%,0,2,0,Wyoming,American Porter,6.40%,Rotating,"
No notes at this time."
The 12th Labor-Bourbon Barrel Aged,Orpheus Brewing,4.37,"#1,716",10,32,9.61%,12,14,1,Georgia,American Imperial Stout,13.00%,Rotating,"
No notes at this time."
Boss Tweed,Old Nation Brewing Co.,4.43,#342,68,309,7.22%,34,44,2,Michigan,New England IPA,9.30%,Rotating,"
No notes at this time."
Blender - Raspberry,New Park Brewing,4.55,"#2,213",2,12,8.35%,0,5,0,Connecticut,Berliner Weisse,5.00%,Rotating,"
No notes at this time."
Deacon,Selkirk Abbey Brewing Company,3.69,"#28,323",13,27,13.55%,0,3,0,Idaho,Belgian Pale Ale,5.50%,Year-round,"
Hops and grains from the great Northwest, Belgian yeast and Idaho's best water combine to make this smooth, dry Pale Ale. Excellent with a meal or simply on its own this delicious, crisp little crowd pleaser is a house favorite."
Nimble Giant,Tröegs Brewing Company,4.22,"#1,833",192,808,7.35%,43,236,1,Pennsylvania,American Imperial IPA,9.00%,Rotating,"
“Without sway, there can be no balance.” Our Double IPA gracefully boasts grapefruit rind, pineapple and honeysuckle notes with a hint of earthy forest floor. Behold the wonder!"
Ancient Ale,Dogfish Head Craft Brewery,3.76,"#24,282",4,47,14.63%,11,16,0,Delaware,Fruit and Field Beer,8.00%,Rotating,"
No notes at this time."
Zeus Imperial IPA,Lengthwise Brewing Company,4.4,#505,35,179,14.32%,43,63,1,California,American Imperial IPA,10.00%,Rotating,"
No notes at this time."
His Dark Materials,Monnik Beer Co.,3.83,"#20,637",3,18,6.79%,0,5,0,Kentucky,English Sweet / Milk Stout,5.60%,Year-round,"
No notes at this time."
Vastness Of Space - Bourbon Barrel-Aged,Cellarmaker Brewing Co.,4.53,#256,8,77,5.74%,26,6,0,California,American Imperial Stout,11.00%,Rotating,"
We aged our Imperial Stout for 13 months in 3 Breckenridge Rye Whiskey Barrels and 1 Eagle Rare 10yr Barrel and blended the 4 barrels. The resulting beer is very viscous, chewy and bourbon forward with notes of coconut, vanilla and spice."
Dama India Pale Ale,Dama Bier,3.62,"#31,103",4,18,6.91%,0,2,0,Brazil,English India Pale Ale (IPA),6.50%,Year-round,"
No notes at this time."
Saint-Germain / Nøgne Ø Rhub’IPA,Brasserie Saint-Germain,3.81,"#21,850",5,16,8.4%,1,0,0,France,Belgian IPA,6.00%,Rotating,"
No notes at this time."
Sexy Betty - Brandy Barrel Aged,Nebraska Brewing Company,3.96,"#10,335",21,127,9.34%,6,28,2,Nebraska,American Imperial Stout,11.00%,Rotating,"
A sweet nose greets the adventurous in this marriage of our Black Betty Russian Imperial Stout and a 6-month aging in 50 year old American brandy barrels. From the Black Betty base, rich chocolate aromatics play delightfully against a coffee-like impression. An elegantly pleasant surprise wakes the palate, which migrates from a hint of brandy into a wonderfully lingering roasted malt character."
Forbidden Planet,Bluejacket / Arsenal Restaurant,3.97,"#9,990",12,105,7.3%,2,10,0,District of Columbia,German Kölsch,4.20%,Year-round,"
Heavily Dry-Hopped with Australian-Grown Galaxy Hops; Semi-Dry & Quaffable with Bold Passion fruit, Peach & Mango Aromatics."
Bière De Blanc Du Bois,Jester King Brewery,4.46,#266,30,280,6.05%,140,82,11,Texas,American Wild Ale,6.70%,Rotating,"
Bière De Blanc du Bois was brewed with Hill Country well water, barley, wheat, and hops. It was fermented with our unique mixed culture of microorganisms, which includes farmhouse yeasts, naturally occurring wild yeasts harvested from our air and land in the Texas Hill Country, and native souring bacteria. After extended fermentation and maturation in oak barrels, it was refermented with Texas-grown Blanc du Bois grapes. Bière De Blanc du Bois is 6.7% alcohol by volume, 3.2 pH, and has a finishing gravity of 1.004 (1.0 degree Plato). It is unfiltered, unpasteurized, and 100% naturally conditioned. The artwork for Bière De Blanc du Bois was created by our in-house artist Josh Cockrell."
Punkin Ale,Dogfish Head Craft Brewery,3.93,"#11,235","2,157","6,708",12.72%,379,"1,465",5,Delaware,Pumpkin Beer,7.00%,Fall,"
Also known as Punkin Brown Ale"
Jester King / Scratch - Abscission,Jester King Brewery,4.36,-,3,15,9.86%,3,0,0,Texas,American Wild Ale,5.50%,Limited (brewed once),"
Collaboration with Scratch Brewing Company. Abscission is a 100% spontaneously fermented beer with grapevines, fallen leaves, spicebush, juniper branches, laurel and sassafras steeped overnight in the coolship. Brewed in February 2016 with Hill Country well water, native barley and wheat from Blacklands Malt, and aged hops from our barn. It was cooled overnight in our coolship, then racked to oak barrels for 100% spontaneous fermentation. It slowly fermented and matured for 12 months in oak before being blended in February, 2017."
Fourth Dementia - Bourbon Barrel-Aged,Kuhnhenn Brewing Company,4.55,#93,417,"1,952",8.79%,"1,721",446,33,Michigan,English Old Ale,13.50%,Rotating,"
This is our 4th Dementia Olde Ale that has been bourbon barrel-aged. This ale has an intense sweet caramel malt flavor and aroma that develops into a toffee and toasted marshmallow-like character."
Rince Cochon,Difcom,3.66,"#31,403",77,271,12.84%,11,54,0,France,Belgian Strong Pale Ale,8.50%,Year-round,"
No notes at this time."
Paid Time Off,3 Sheeps Brewing,4.18,"#3,295",16,80,6.94%,6,9,0,Wisconsin,American Dark Wheat Ale,10.00%,Rotating,"
The 6th Exclusive beer for Ray's Growler Gallery - a Black Wheat Ale brewed with toasted coconut, cocoa nibs, and walnut!"
Mighty Bison Brown Ale,Wildlife Brewing & Pizza,3.65,"#30,091",7,22,14.52%,0,2,0,Idaho,American Brown Ale,6.00%,Year-round,"
""Our Flagship Beer"" A dark American Brown Ale that's malty and complex with a hoppy finish. This is a Brown with atttude!"
Rye Sally Rye P.A.,Tamarack Brewing Company,4,"#11,784",3,21,11%,0,1,0,Montana,American Pale Ale (APA),6.00%,Rotating,"
No notes at this time."
Sprechen Sie Deutsch?,Aslin Beer Company,4.39,-,3,22,8.66%,4,2,0,Virginia,American Imperial Stout,15.00%,Rotating,"
An Imperial Stout conditioned on Cocoa Nibs, Coffee, Pecans, Vanilla, & Toasted Coconut. This stout was made to mimic Kai's favorite desert, German Chocolate Cake, and we nailed it! This a thick decadent stout with loads of flavor!"
Juicy Batch 2,Brown Iron Brewhouse,4.62,"#2,228",1,10,11.04%,0,3,0,Michigan,American Imperial IPA,7.80%,Rotating,"
No notes at this time."
Baltic Trader,Green Jack Brewery / The Triangle Tavern,4.25,"#5,571",4,15,5.41%,3,1,0,England,Foreign / Export Stout,10.50%,Year-round,"
Baltic Trader celebrates the North Sea sailing ships that plied the fishing trade between British ports like Lowestoft, the Low Countries, and Scandanavia. Many a good herring was netted and eaten with an Export Stout like Baltic Trader! Smooth and rich with notes of fruit, roasted coffee, and vanilla."
Ode To Mercy Special Winter Ale,Wild Heaven Beer,4.04,"#7,612",14,62,14.36%,9,12,1,Georgia,American Brown Ale,8.20%,Winter,"
No notes at this time."
Yeti Imperial Stout,Great Divide Brewing Company,4.21,"#1,895","1,833","5,605",9.5%,336,"1,200",22,Colorado,American Imperial Stout,9.50%,Year-round,"
An onslaught of the senses. It starts with big, roasty malt flavor that gives way to rich caramel and toffee notes. YETI gets its bold hop character from an enormous quantity of American hops."
Drie Fonteinen Oude Kriek,Brouwerij 3 Fonteinen,4.31,#892,349,"1,232",7.66%,203,286,35,Belgium,Belgian Fruit Lambic,6.00%,Year-round,"
No notes at this time."
Big Juice Double IPA: Smoothie Edition,Three Magnets Brewing,4.21,"#4,062",6,31,6.41%,2,1,0,Washington,American Imperial IPA,8.50%,Rotating,"
No notes at this time."
Schlafly Tasmanian IPA (TIPA),The Schlafly Tap Room,4.25,"#1,444",287,"1,701",8.94%,176,359,2,Missouri,American IPA,7.20%,Fall,"
Our Tasmanian IPA is brewed with 100% Australian hops. The Tasmanian hop, Galaxy, is a strong, aromatic variety that is different from traditional strains of the Pacific Northwest. Our brewers developed a recipe that showcases the hop’s unique flavors of citrus and pineapple."
I Like Turtles,The Answer Brewpub,4.5,-,2,12,4.67%,4,0,0,Virginia,American Imperial Stout,9.00%,Rotating,"
No notes at this time."
Mexican IPA Por Favor,Baja Brewing Company,3.19,"#39,609",4,10,23.2%,0,1,0,Mexico,American IPA,7.00%,Year-round,"
No notes at this time."
Raspberry Hef,Brickway Brewery & Distillery,3.77,"#24,037",2,10,13.79%,0,3,0,Nebraska,Fruit and Field Beer,5.00%,Spring,"
No notes at this time."
4 Pines Dry Stout,4 Pines Brewing Company,3.86,"#17,212",26,61,11.92%,2,8,0,Australia,Irish Dry Stout,5.10%,Rotating,"
No notes at this time."
Mutton Buster,Payette Brewing,3.65,"#31,279",16,58,8.22%,2,8,1,Idaho,American Brown Ale,5.50%,Year-round,"
The Mutton Buster combines a roasty flavor with notes of chocolate and nuttiness that creates a full flavored brown ale. While it is malt focused, there is mild hop bitterness with an earthy hop flavor. The Mutton Buster may be dark in color and heavy on the malt flavors, but it is sessionable enough to have a few any time of the year."
Peeper,Maine Beer Company,4.11,"#3,820",638,"2,965",9.49%,208,747,12,Maine,American Pale Ale (APA),5.50%,Year-round,"
Our original hoppy American ale. Dry, clean, well-balanced with generous dose of American hops."
Sierra Nevada Stout,Sierra Nevada Brewing Co.,4.06,"#5,322","1,456","3,452",10.84%,326,508,2,California,American Stout,5.80%,Year-round,"
Sierra Nevada Stout s a full-bodied American version of the traditional black ale. It is perfectly balanced with big roasted malt flavors and earthy, whole-cone hops."
Brettanomyces Lambicus Berliner Style Weisse,Gasthaus & Gosebrauerei Bayerischer Bahnhof,4.22,"#2,007",110,235,10.66%,168,21,2,Germany,Berliner Weisse,3.00%,Rotating,"
No notes at this time."
Peach Climacteric,WeldWerks Brewing Co.,4.47,#688,4,43,5.59%,14,7,1,Colorado,American Wild Ale,7.10%,Rotating,"
No notes at this time."
Infinite Highway,Dancing Gnome,4.39,#933,7,60,6.15%,6,8,0,Pennsylvania,American Imperial IPA,8.00%,Rotating,"
We double dry-hopped this beautiful beer to extract twice the oils for twice the enjoyment. Intense aromas and flavors of pineapple, passion fruit, crushed berries, citrus zest, pears, and crushed red berries. Soft and hazy, Infinite Highway has a super low bitterness that makes it dangerously drinkable."
Bucket List Blonde,Broomtail Craft Brewery,4.54,"#3,008",4,10,14.54%,3,2,0,North Carolina,American Blonde Ale,5.20%,Year-round,"
No notes at this time."
Wonka Bar,Mispillion River Brewing,4.12,"#9,504",2,13,8.01%,4,2,0,Delaware,English Sweet / Milk Stout,6.30%,Rotating,"
No notes at this time."
Dominion Ale,Old Dominion Brewing Company,3.69,"#29,357",137,200,11.65%,14,9,0,Delaware,English Pale Ale,5.40%,Year-round,"
This English style ale is malty with an assertive hop character. The result is a beautiful crystal clear amber color with a medium body."
Suzy B,Southern Prohibition Brewing,3.55,"#36,805",28,126,11.83%,3,41,1,Mississippi,American Blonde Ale,5.30%,Year-round,"
No notes at this time."
Bottle-Conditioned Ale,"Ishikawa Brewery Co., Ltd",4.05,"#10,368",7,18,7.9%,1,3,0,Japan,Belgian Pale Ale,5.50%,Year-round,"
No notes at this time."
Citraquench'l,Heist Brewery,4.55,#115,56,245,5.93%,121,19,1,North Carolina,New England IPA,7.10%,Rotating,"
Sometimes listed as Citra-Quench!-Al or Citraquintial"
Higher Standard,Peekskill Brewery,4.33,#988,14,146,8.55%,30,12,0,New York,American Imperial IPA,8.80%,Year-round,"
With Simcoe and Citra Hops added to our kettle, coolship, hopback, and then dryhopped twice in the fermenter, this smooth Triple IPA will satisfy your inner hophead."
Mornington Peninsula Imperial Stout,Mornington Peninsula Brewery,4.11,"#7,992",6,20,8.03%,0,2,0,Australia,Russian Imperial Stout,9.50%,Summer,"
No notes at this time."
Bottle Logic / Great Notion - Paisley Cave Complex,Bottle Logic Brewing,4.45,-,7,23,7.64%,7,8,4,California,American Imperial Stout,13.00%,Limited (brewed once),"
Bourbon barrel-aged imperial stout brewed with marshmallows, cacao nibs, and blueberries. Collaboration with Portland's Great Notion Brewing"
Scots Gone Wild,Real Ale Brewing Company,4.3,"#1,245",13,149,10%,21,25,0,Texas,American Wild Ale,9.70%,Rotating,"
No notes at this time."
Driftwood Oatmeal Stout,Bosque Brewing Co.,3.7,"#26,983",3,12,9.73%,0,2,0,New Mexico,American Stout,5.80%,Year-round,"
No notes at this time."
Ayinger Kirta-Halbe,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,4.01,"#9,210",25,49,7.23%,11,3,0,Germany,German Märzen / Oktoberfest,5.80%,Fall,"
No notes at this time."
La Maline,Brasserie Thiriez,3.6,"#32,645",20,25,10.28%,1,3,0,France,Belgian Dark Ale,5.80%,Year-round,"
No notes at this time."
Duet,Alpine Beer Company,4.33,#726,902,"4,465",7.85%,822,927,16,California,American IPA,7.00%,Year-round,"
A soon-to-be favorite, if it's already not. This single IPA boasts pine, citrus, and cedar notes from Simcoe and Amarillo hops."
Tuppen's Demise,O'so Brewing Company & Tap House,4.3,"#2,968",6,26,4.42%,1,10,2,Wisconsin,American Wild Ale,6.90%,Rotating,"
Blended oak barrel aged sour beer refermented with fresh Michigan blueberries."
Sur Simcoe,To Øl,4.07,"#6,366",24,69,6.14%,4,15,0,Denmark,American Wild Ale,4.50%,Rotating,"
No notes at this time."
Lune,Birrificio Le Baladin,4.26,"#4,251",5,20,7.75%,5,6,0,Italy,British Barleywine,11.50%,Rotating,"
No notes at this time."
Portsmouth Imperial (Baltic) Porter,Portsmouth Brewery,4.13,"#5,031",37,50,10.41%,38,0,0,New Hampshire,Baltic Porter,9.00%,Rotating,"
Bigger, darker and more ""Imperial"" than our Robust Porter, brewed with a Baltic flair."
Oak Creek Cherry Chocolate Porter,Oak Creek Brewing Co.,4,"#14,312",2,11,5.25%,0,1,0,Arizona,American Porter,not listed,Rotating,"
No notes at this time."
Hughe Dunn Brown,Nail Brewing Australia Pty Ltd,3.75,"#24,745",7,13,8.27%,0,0,0,Australia,English Brown Ale,8.00%,Rotating,"
No notes at this time."
Birth Of Tragedy,Hill Farmstead Brewery,4.46,#236,194,"1,259",8.3%,"1,064",208,21,Vermont,American Imperial Porter,9.00%,Winter,"
Birth of Tragedy is the imperial and oak barrel-aged version of our annual winter porter, Twilight of the Idols. Brewed with locally roasted coffee and Vermont honey, we age this beer for a year in personally selected bourbon barrels from our favorite distilleries."
Pulp Non-Fiction,Barn Town Brewing,4.41,"#4,559",3,10,3.17%,0,0,0,Iowa,American IPA,7.00%,Rotating,"
No notes at this time."
Dark Apparition - Apple Brandy Barrel-Aged,Jackie O's Pub & Brewery,4.33,-,4,37,5.08%,7,5,1,Ohio,Russian Imperial Stout,13.40%,Limited (brewed once),"
Russian imperial stout aged in apple brandy barrels for over a year"
Harvester Wheat,River City Brewing Co.,3.45,"#36,307",3,14,6.09%,0,2,0,Kansas,American Pale Wheat Ale,not listed,Year-round,"
No notes at this time."
Narragansett Bock,Narragansett Brewing Co.,3.82,"#19,411",116,284,14.4%,34,23,0,Rhode Island,German Maibock,6.50%,Spring,"
Brewed with Light and Dark Munich malts, Pilsner Malt, and Malted Wheat. It is hopped with Northern Brewers and Hallertau hops. Northern Brewers is a clean bittering hop and Hallertau is a classic German aroma hop associated with Bavarian style lager beers."
Mosaic Imperial India Pale Ale,Mikkeller ApS,4.08,"#5,208",38,178,8.33%,9,24,0,Denmark,American Imperial IPA,8.90%,Rotating,"
No notes at this time."
Squeezit,Corridor Brewery & Provisions,4.44,#842,14,44,4.28%,1,5,0,Illinois,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Professor Frink,Barrel Theory Beer Company,4.31,-,3,15,5.34%,1,1,0,Minnesota,American Imperial IPA,8.20%,Limited (brewed once),"
No notes at this time."
Matt Porter,Denali Brewing Company / Twister Creek Restaurant,4.22,"#7,685",2,11,11.37%,1,2,0,Alaska,English Porter,not listed,Rotating,"
No notes at this time."
Hustle Mosaic Pale Ale,The Brewing Projekt,4.41,-,5,20,3.4%,0,1,0,Wisconsin,American Pale Ale (APA),not listed,Rotating,"
No notes at this time."
Ole Gus,Meadowlark Brewing,3.9,"#17,167",7,17,7.69%,0,4,0,Montana,Scotch Ale / Wee Heavy,7.00%,Year-round,"
Full-bodied with robust caramel malt notes, this ale features a slight crispness married to subtle fruity esters from Edinburgh ale yeast. It displays a dark ruby color harboring a smooth finish with a touch of warmth."
Mannenliefde,Oedipus Brewing,3.85,"#18,439",10,36,8.83%,1,12,0,Netherlands,Belgian Saison,6.00%,Year-round,"
No notes at this time."
